,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Fcer1a,3.29076462554145e-09,7.184797453207992e-05,6.816257612130006e-05,6.816489845346559e-05,6.815831692421451e-05,6.380792608924871e-05,6.395195885907217e-08,6.75873861840928e-07,2.8174127153312046e-08,2.98996057171977e-08,0.0789679754114
Ms4a2,1.8834257571293907e-12,4.112176910098242e-08,4.0739442597192976e-08,4.074038255246585e-08,4.074038255246585e-08,4.001149678445677e-08,1.9903165144871378e-10,2.10345849123489e-09,8.768367936636337e-11,9.305372360326166e-11,-0.0747226776592
Fcer1g,1.3510555262245838e-05,0.2554620514888556,0.21399076909522352,0.24078511588374532,0.24074458421795858,0.1575736060235732,7.34535516922001e-05,0.000776291086838177,3.236006749689809e-05,3.434190716447504e-05,-0.0527230192032
Gnat1,1.1262102282674356e-08,0.0002458665118021397,0.000230384808589279,0.00023041135060123465,0.00023040008849895197,0.00021170499870971254,1.7848100391122445e-07,1.886269748899372e-06,7.863006213346469e-08,8.344563231776909e-08,-0.0803922532384
Hoxb9,0.20201001087166226,1.0,1.0,1.0,0.5,0.5,0.2522447369178125,1.0,0.11112678045307496,0.11793255926219301,0.00805492803988
Zfy2,0.008458799012113858,1.0,1.0,1.0,0.5,0.5,0.018399140870653974,0.19445062538596602,0.008105767886544865,0.008602192448553762,-0.0315847863729
Prim1,0.00026732021602348397,0.9970837299681358,0.9850965305452297,1.0,0.5,0.5,0.0009558898805899651,0.010102286100613376,0.00042111865720412543,0.00044690938399058455,0.0373947506434
Hist1h2ao,0.00015451482177463612,0.965745498320055,0.9180294966687357,1.0,0.5,0.5,0.0005962666346107114,0.006301621407865064,0.0002626861206522137,0.00027877390458778067,-0.0150369662764
Bmp6,2.229625141208159e-09,4.868045067341065e-05,4.6355062140679415e-05,4.6356136310858835e-05,4.635390668571763e-05,4.362707513802005e-05,4.658529696951095e-08,4.923349515715936e-07,2.0523219361991658e-08,2.178013053011197e-08,0.061677569399
Igll1,0.0002672767152398451,0.9970809580491035,0.9850965305452297,1.0,0.5,0.5,0.0009558898805899651,0.010102286100613376,0.00042111865720412543,0.00044690938399058455,0.026505838877
Chrne,0.15283710952968915,1.0,1.0,1.0,0.5,0.5,0.20210022016733015,1.0,0.08903554171427813,0.09448837856050761,-0.00809355545002
